1,85.94,47.51,114.86
2,110.55,45.57,115.24
3,160.04,39.84,174.84
4,197.56,43.84,182.51
5,205.51,44.62,151.5
6,251.24,52.33,203.48
7,260.25,55.23,210.73
8,230.41,45.21,203.11
9,197.98,42.57,245.7
10,138.26,32.69,168
11,73.96,18.64,85.9
12,71.85,47.21,80.1
1,79.42,43.7,102.77
2,106.96,36.38,117.69
3,157.94,45.44,152.08
4,210.06,50.75,178.72
5,220.28,47.21,159.86
6,263.36,53.48,222.71
7,270.86,56.32,233.15
8,234.87,50.33,209.69
9,202.92,46.22,238.17
10,125.48,30.58,154.5
11,97.32,24.95,164.1
12,73.11,21.39,124.8
1,86.37,26.34,139.05
2,130.27,50.07,177.85
3,139.65,51.29,92.71
4,192.66,45.94,164.92
5,225.17,54.38,206.61
6,262.19,58.43,205.27
7,269.92,53.42,216.94
8,227.56,43.41,190.68
9,206.75,43.14,227.65
10,129.88,30.12,142.07
11,88.91,22.55,121.72
12,69.88,28.08,87.11
1,96.81,57.05,130.03
2,111.89,45.9,126.94
3,161.35,40.08,150.51
4,196.77,44.06,183.42
5,201.25,48,146.74
6,257.68,58.12,212.84
7,288,59.2,264.13
8,245.4,52.31,215.42
9,201.38,42.56,234.49
10,149.67,34.54,198.28
11,80.51,19.63,95.06
12,68.98,25.54,106.95
1,76.86,31.31,83.41
2,128.52,53.28,152.45
3,151.64,39.92,152.16
4,225.71,51.17,204.2
5,231.46,49.78,184.85
6,270.28,58.01,234.88
7,244.08,53.39,143.48
8,229.27,54.12,201.98
9,225.51,54.38,278.3
10,120.06,28.71,152.08
11,74.97,18.63,102.51
12,79.87,23.95,129.58
1,71.27,39.35,89.3
2,104.24,37.67,113.1
3,162.04,48.29,167.05
4,216.49,52.91,195.33
5,276.68,63.63,254.44
6,282.51,57.81,235.82
7,276.8,50.58,243.47
8,238.51,47.57,208.91
9,196.82,42.85,216.13
10,141.23,32.29,169.47
11,93.1,23.26,134.96
12,68.93,39.55,88.07
1,65.54,18.44,85.97
2,135.83,38.57,177.88
3,142.97,40.95,132.31
4,214.86,48.09,200.45
5,237.05,50.56   191.66 ,191.66
6,265.04,54.54,225.31
7,272.85,52.45,239.7
8,217.75,44.59,182.2
9,171.86,36.27,147.55
10,131.01,30.04,172.99
11,77.77,18.16,104.41
12,63.58,25.85,90
1,72.06,23.72,88.65
2,128.85,86.84,156.42
3,157.09,41.09,137.6
4,202.39,46.81,188.11
5,237.94,51.54,178.73
6,268.15,57.47,216.38
7,289.75,59.79,273.71
8,248.99,55.37,228.49
9,215.65,48.28,244.56
10,136.42,31.72,157.83
11,105.84,27.44,152.13
12,61.95,27.13,68.88
1,82.83,26.18,123.88
2,119.6,53.79,113.68
3,143.74,38.75,120.06
4,206.32,47.01,168.54
5,216.97,46.59,175.58
6,281.91,58.37,254.64
7,272.11,56.39,240.06
8,254.47,52.32,252.5
9,177.12,41.24,175.76
10,153.33,37.06,207.05
11,86.71,21.73,124.87
12,67.64,27.86,92.28
1,91.96,53.07,88.43
2,126.48,46.8,118.79
3,170.68,42.79,153.98
4,186.38,42.15,154.8
5,238.73,49.62,189.12
6,253.27,50.42,192.41
7,251.1,54.11,188.27
8,232.88,50.55,195.93
9,195.14,44.55,192.57
10,98.72,23.08,98.36
11,91.78,22.43,136.66
12,59.32,20.66,72.25
1,87.02,51.94,35.13
2,130.19,67.98,62.26
3,154.23,39.33,114.93
4,232.08,52.5,179.61
5,232.99,47.14,185.88
6,273.59,54.05,220.12
7,270.58,56.94,213.65
8,272.25,59.94,212.3
9,204.9,45.41,159.49
10,165.01,38.57,126.45
11,97.33,25.18,72.16
12,72.2,48.98,23.23
1,86.93,48.55,38.38
2,116.51,65.11,51.41
3,144.8,33.9,110.91
4,176.95,38.02,138.94
5,207.89,41.06,158.88
6,248.85,49.98,198.89
7,281.03,54.78,226.26
8,259.18,51.54,207.66
9,176.27,38.91,137.38
10,147.6,33.62,114
11,78.92,18.66,60.29
12,61.18,15.11,46.08
1,81.93,26.02,55.94
2,113.85,27.67,86.21
3,174.29,39.46,134.87
4,212.68,46.64,166.08
5,276.66,57.52,219.16
6,301.07,60.84,240.23
7,283.02,51.58,231.44
8,253.29,44.09,209.22
9,195.04,40.21,154.86
10,133.77,29.94,103.88
11,103.87,25.12,78.77
12,58.78,18.18,40.63
1,86.8,26.05,60.79
2,111.46,32.74,78.76
3,158.79,57.28,101.53
4,189.52,39.34,150.22
5,215.32,44.94,170.43
6,240.55,49.47,191.12
7,252.64,48.76,203.91
8,249.56,47.83,201.73
9,213.73,43.05,170.68
10,126.75,26.87,99.75
11,95.39,23.52,71.94
12,70.09,29.34,40.85
1,87.54,44.61,43.07
2,145.41,91.48,54
3,170.61,45.58,125.03
4,209.04,44.16,165.04
5,247.23,51.61,195.68
6,260.58,55.72,204.88
7,276.65,57.71,218.95
8,208.74,45.93,162.81
9,194.95,43.63,151.33
10,115.93,25.7,90.24
11,82.17,21.33,60.87
12,50.83,11.87,38.99
1,82.89,31.75,51.17
2,139.82,78.96,60.91
3,171.79,62.68,109.13
4,214.03,45.51,168.55
5,239.14,50.38,188.78
6,233.56,48.7,184.96
7,241.63,48.74,192.89
8,246.36,50.14,196.22
9,195.19,43.59,155.83
10,146.55,33.08,115.28
11,95.9,27.06,68.87
12,50.13,11.3,39.28
1,88.35,33.91,54.46
2,119.13,38.16,80.94
3,145.06,32.98,112.1
4,206.44,44.81,161.67
5,231.28,47.73,183.56
6,292.49,60.86,234.82
7,256.88,53.4,203.48
8,230.53,49.11,181.43
9,197.54,41.5,156.05
10,137.03,32.14,104.9
11,98.38,24.99,73.41
12,63.49,20.85,42.65
1,56,16.32,39.7
2,125.61,35.01,90.62
3,152.34,39.13,113.22
4,192.29,41.4,150.91
5,240.78,51.09,189.72
6,311.11,64.32,246.8
7,281.09,56.31,224.79
8,246.64,48.77,197.88
9,210.91,42.04,168.87
10,116.57,24.68,91.91
11,88.34,21.13,67.23
12,81.92,31.98,49.96
1,86.73,44.03,42.72
2,90.5,28.8,61.73
3,149.66,35.57,114.11
4,206.72,45.86,160.89
5,253.83,52.53,201.33
6,267.9,51.77,216.14
7,271.99,54.38,217.61
8,237.07,48.46,188.62
9,188.39,38.7,149.7
10,133.23,31.3,103.95
11,80.99,23.67,57.33
12,64.28,19.4,44.89
