1,35.13,106.45
2,62.26,113.07
3,114.93,153.83
4,179.61,212.2
5,185.88,197.71
6,220.12,233.1
7,213.65,240.06
8,212.3,271.06
9,159.49,227.98
10,126.45,238.88
11,72.16,153.65
12,23.23,80.53
1,38.38,75.46
2,51.41,109.3
3,110.91,120.07
4,138.94,133.98
5,158.88,136.49
6,198.89,189.76
7,226.26,243.42
8,207.66,258.05
9,137.38,172.64
10,114,203.82
11,60.29,103.34
12,46.08,83.68
1,55.94,126.8
2,86.21,137.77
3,134.87,172.7
4,166.08,192.63
5,219.16,270.18
6,240.23,307.89
7,231.44,247.28
8,209.22,263.34
9,154.86,215.74
10,103.88,165.51
11,78.77,151.44
12,40.63,71.31
1,60.79,132.07
2,78.76,115.94
3,101.53,141.32
4,150.22,169.58
5,170.43,140.21
6,191.12,182.98
7,203.91,226.65
8,201.73,230.5
9,170.68,247.32
10,99.75,154.23
11,71.94,154.38
12,40.85,91.63
1,43.07,101.94
2,54,169.95
3,125.03,171.63
4,165.04,202.92
5,195.68,195.05
6,204.88,204.18
7,218.95,243.43
8,162.81,139.36
9,151.33,224.01
10,90.24,122.06
11,60.87,100.88
12,38.99,57.03
1,51.17,116.62
2,60.91,157.79
3,109.13,162.53
4,168.55,205.24
5,188.78,177.71
6,184.96,155.14
7,192.89,175.16
8,196.22,232
9,155.83,215.91
10,115.28,192.45
11,68.87,158.08
12,39.28,60.44
1,54.46,124.43
2,80.94,146.98
3,112.1,142.14
4,161.67,204.85
5,183.56,183.8
6,234.82,303.79
7,203.48,214.32
8,181.43,194.54
9,156.05,217.33
10,104.9,155.46
11,73.41,157.48
12,42.65,86.41
1,39.7,52.2
2,90.62,149.28
3,113.22,154.24
4,150.91,149.5
5,189.72,216.38
6,246.8,326.15
7,224.79,260.84
8,197.88,226.61
9,168.87,231.04
10,91.91,133.37
11,67.23,141.14
12,49.96,126.7
1,42.72,137.23
2,61.73,85.09
3,114.11,159.15
4,160.89,175.54
5,201.33,211.53
6,216.14,234.55
7,217.61,259.16
8,188.62,202.45
9,149.7,209.12
10,103.95,160.71
11,57.33,91.24
12,44.89,95.6
1,41.51,94.32
2,69.43,92.61
3,107.7,153.94
4,138.95,164.48
5,165.75,131.12
6,198.22,192.52
7,226.3,267.58
8,185.19,210.45
9,156.66,196.77
10,97.97,153.21
11,63.33,117.28
12,46.7,112.28
1,44.72,64.4
2,68.26,115.82
3,93.02,111.83
4,157.33,163.29
5,170.44,159.81
6,224.7,265.22
7,223.07,266.39
8,211.17,267.9
9,141.94,166.94
10,99.44,144.35
11,76.58,157.77
12,57.53,113.94
